molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3665190,0.05241,nM,CS(=O)(=O)N1CCC[C@H](Nc2nc(Cl)ncc2-c2cnc3[nH]ccc3n2)C1,10.280585840297407,407.0931214960001,7,2,1.9042,True
CHEMBL3930290,0.055,nM,C#CCN(c1c(F)cc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,378.14045095200004,5,1,2.8262800000000006,True
CHEMBL3942728,0.055,nM,CN(c1cnc(N2CCOCC2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,380.20730738800006,8,1,1.2995999999999996,True
CHEMBL3941211,0.055,nM,CN(c1ccnc(Cl)n1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,329.115571192,6,1,2.1163999999999996,True
CHEMBL3925605,0.055,nM,CN(c1ccc(F)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,312.149872764,5,1,2.2070999999999996,True
CHEMBL3920484,0.055,nM,CN(c1ccc(Cl)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,328.120322224,5,1,2.7214,True
CHEMBL3937835,0.055,nM,CN(c1ccnc(C#N)c1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,319.15454354400003,6,1,1.9396799999999998,True
CHEMBL3893327,0.055,nM,CCN(c1ccc(C#N)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,333.17019360800003,6,1,2.3297800000000004,True
CHEMBL3951700,0.055,nM,COc1nc(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)ccc1C#N,10.259637310505756,349.165108228,7,1,1.9482799999999993,True
CHEMBL3956882,0.055,nM,COC[C@@H](NC(=O)c1cc(F)c(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)c(F)c1)c1ccccc1,10.259637310505756,506.22418057600004,6,2,4.068700000000002,True
CHEMBL3960416,0.055,nM,C#Cc1ccc(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.259637310505756,318.159294576,5,1,2.0492999999999997,True
CHEMBL3951623,0.055,nM,C[C@@H](NC(=O)c1ccc(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)c(F)c1)c1ccccc1,10.259637310505756,458.22303770400003,5,2,4.303100000000003,True
CHEMBL3917906,0.055,nM,CN(c1ccc(S(=O)(=O)NC2CC2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,413.1633939760001,7,2,1.5086999999999995,True
CHEMBL3890208,0.055,nM,CN(c1c(F)cc(C(=O)N[C@H](CO)c2ccccc2)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,492.2085305120001,6,3,3.414600000000002,True
CHEMBL3651042,0.056,nM,CCOC(=O)c1c[nH]c2ncnc(-c3cccc(NC(=O)C4(C)CO4)c3)c12,10.2518119729938,366.13280505599994,6,2,2.529000000000001,True
CHEMBL3665186,0.05674,nM,CN(C)c1ncc(-c2cnc3[nH]ccc3n2)c(N[C@H]2CCCN(S(C)(=O)=O)C2)n1,10.246110668540167,416.174293008,8,2,1.3167999999999995,True
CHEMBL3665145,0.06075,nM,CC(=O)N1CCCC(Nc2nc(C)ccc2-c2cnc3[nH]ccc3n2)C1,10.21645371772965,350.185509324,5,2,2.7511200000000002,True
CHEMBL3665126,0.06345,nM,CC(=O)N1CC[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.197568373569275,322.154209196,5,2,2.0526,True
CHEMBL3665178,0.0647,nM,CC(C)(C)NS(=O)(=O)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.1890957193313,429.19469410400006,6,3,2.5290999999999997,True
CHEMBL3665208,0.06487,nM,CS(=O)(=O)N1CCC[C@H](Nc2nc(N3CCN(c4ccccn4)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,10.187956102069773,534.2273912000002,10,2,1.9723999999999995,True
CHEMBL3650995,0.066,nM,C=CC(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1Cl,10.18045606445813,370.08326802,5,2,3.579500000000002,True
CHEMBL3651003,0.068,nM,C=C(C)C(=O)Nc1cc(C#N)cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.167491087293763,375.13313940399996,6,2,3.1878800000000007,True
CHEMBL3639640,0.06878,nM,CC(=O)N1CCCC(Nc2nc(C)ccc2-c2cnc3[nH]cc(Cl)c3n2)C1,10.162537828514004,384.14653697200004,5,2,3.4045200000000015,True
CHEMBL3650996,0.07,nM,C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1F,10.154901959985743,368.128468624,5,2,3.455300000000002,True
