,Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1365,1365,CHEMBL2112370,1912.0,nM,COC[C@@H]1CCCN1C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5.718512112059919,495.12698717200004,6,2,4.741400000000003,True
1366,1366,CHEMBL5179098,1940.0,nM,Fc1cccc(-c2ccc3c(ccn3Cc3coc(/C=C/c4ccc(C(F)(F)F)cc4)n3)c2)c1,5.7121982700697735,462.135526076,3,0,7.6729000000000065,True
1367,1367,CHEMBL323630,1950.0,nM,CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,5.709965388637482,423.126216128,5,2,4.6988800000000035,True
1368,1368,CHEMBL2325094,1980.0,nM,Clc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1Cl,5.703334809738469,416.084703936,2,0,7.502300000000004,True
1369,1369,CHEMBL605161,2000.0,nM,O=[N+]([O-])c1ccc2c(c1)S(=O)(=O)N=S2c1ccc(Br)cc1,5.698970004336019,385.90306080400006,4,0,3.2795000000000014,True
1370,1370,CHEMBL5183608,2010.0,nM,FC(F)(F)c1ccc(/C=C/c2nc(CNc3cccc(Cl)c3)co2)cc1,5.696803942579511,378.07467540799996,3,1,6.129300000000003,True
1371,1371,CHEMBL2325096,2010.0,nM,Fc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,5.696803942579511,366.153226828,2,0,6.3346000000000044,True
1372,1372,CHEMBL58,2035.2,nM,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,5.69139290603168,444.200884616,10,8,-0.13919999999999944,True
1373,1373,CHEMBL3746473,2060.0,nM,CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,5.686132779630847,506.15499704399997,10,0,3.562520000000003,True
1374,1374,CHEMBL221753,2084.0,nM,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],5.681102285372513,447.29040726399995,2,0,3.0764000000000014,True
